name,common_name,type,type_fr,ra_h,dec_deg,size_w_arcmin,size_h_arcmin,mag,filter,messier
NGC7814,,G,galaxie,0.0541,16.1454,4.37,1.88,10.6,sans,
NGC0016,,G,galaxie,0.1512,27.7294,1.74,0.85,12.0,sans,
NGC0023,,G,galaxie,0.1648,25.9238,1.55,1.22,11.98,sans,
NGC0024,,G,galaxie,0.1657,-24.9631,6.18,2.40,11.52,sans,
NGC0040,Bow-Tie nebula,PN,nebuleuse planetaire,0.217,72.5219,0.80,0.80,11.89,LP,
NGC0045,,G,galaxie,0.2344,-23.1821,6.18,4.44,10.44,sans,
NGC0055,,G,galaxie,0.2482,-39.1966,29.85,3.05,8.54,sans,
NGC0057,,G,galaxie,0.2586,17.3285,2.11,1.60,11.65,sans,
IC0010,,G,galaxie,0.3382,59.3038,6.76,6.03,10.35,sans,
NGC0104,47 Tuc Cluster,GCl,amas globulaire,0.4015,-72.0814,31.80,31.80,4.09,sans,
NGC0103,,OCl,amas ouvert,0.4212,61.3235,2.70,2.70,9.8,sans,
NGC0121,,GCl,amas globulaire,0.4467,-71.5357,3.80,3.10,11.24,sans,
NGC0128,,G,galaxie,0.4875,2.8641,3.16,0.87,11.63,sans,
NGC0129,,OCl,amas ouvert,0.4995,60.2112,5.40,5.40,6.5,sans,
NGC0134,,G,galaxie,0.5061,-33.244,8.38,1.79,10.31,sans,
NGC0133,,OCl,amas ouvert,0.5214,63.3526,2.10,2.10,9.4,sans,
NGC0146,,OCl,amas ouvert,0.5511,63.309,3.60,3.60,9.1,sans,
NGC0147,,G,galaxie,0.5534,48.5087,9.40,5.41,9.72,sans,
NGC0151,,G,galaxie,0.5674,-9.7053,3.74,2.31,11.66,sans,
NGC0150,,G,galaxie,0.571,-27.8036,3.54,1.60,11.41,sans,
NGC0185,,G,galaxie,0.6494,48.3374,12.94,10.76,9.2,sans,
NGC0189,,OCl,amas ouvert,0.6599,61.0945,2.70,2.70,8.8,sans,
M110,,G,galaxie,0.6728,41.6853,16.22,9.59,8.15,sans,110
NGC0210,,G,galaxie,0.6764,-13.8728,4.98,3.02,11.12,sans,
M32,,G,galaxie,0.7116,40.8653,7.74,4.86,8.13,sans,32
M31,Andromeda Galaxy,G,galaxie,0.7123,41.2691,177.83,69.66,3.44,sans,31
NGC0225,,OCl,amas ouvert,0.7268,61.7669,4.20,4.20,7.0,sans,
NGC0246,,PN,nebuleuse planetaire,0.7843,-11.8719,4.08,4.08,10.9,LP,
NGC0247,,G,galaxie,0.7857,-20.7604,19.68,5.55,9.21,sans,
NGC0188,,OCl,amas ouvert,0.791,85.2696,17.70,17.70,8.1,sans,
NGC0254,,G,galaxie,0.791,-31.4218,2.77,1.80,11.67,sans,
NGC0253,Sculptor Filament,G,galaxie,0.7925,-25.2882,26.79,4.58,11.11,sans,
NGC0255,,G,galaxie,0.7965,-11.4687,2.04,1.85,11.93,sans,
NGC0266,,G,galaxie,0.8299,32.2777,2.92,2.83,11.82,sans,
NGC0290,,OCl,amas ouvert,0.8539,-73.1615,1.10,1.10,11.71,sans,
NGC0278,,G,galaxie,0.8679,47.5505,2.36,2.30,10.85,sans,
NGC0289,,G,galaxie,0.8784,-31.2058,3.36,2.51,11.18,sans,
NGC0292,Small Magellanic Cloud,G,galaxie,0.8791,-72.8286,299.92,179.89,2.3,sans,
NGC0288,,GCl,amas globulaire,0.8798,-26.5899,9.60,9.60,8.13,sans,
NGC0299,,OCl,amas ouvert,0.89,-72.1971,0.90,0.90,11.73,sans,
NGC0300,,G,galaxie,0.9149,-37.6844,19.41,13.06,8.66,sans,
NGC0330,,OCl,amas ouvert,0.9382,-72.4629,2.80,2.50,9.55,sans,
NGC0315,,G,galaxie,0.9636,30.3524,2.86,2.14,11.6,sans,
IC1611,,OCl,amas ouvert,0.9966,-72.3323,1.50,1.50,11.96,sans,
NGC0337,,G,galaxie,0.9972,-7.578,2.92,1.89,11.48,sans,
NGC0361,,OCl,amas ouvert,1.0362,-71.6047,2.60,2.60,11.77,sans,
NGC0362,,GCl,amas globulaire,1.054,-70.8482,8.70,8.70,6.58,sans,
NGC0376,,OCl,amas ouvert,1.0648,-72.8237,1.80,1.80,10.9,sans,
IC1613,,G,galaxie,1.0799,2.1178,18.32,17.14,9.54,sans,
NGC0416,,GCl,amas globulaire,1.1329,-72.3551,1.70,1.70,11.76,sans,
NGC0419,,GCl,amas globulaire,1.1381,-72.8835,2.80,2.80,10.5,sans,
NGC0381,,OCl,amas ouvert,1.1383,61.5833,6.00,6.00,9.3,sans,
IC1644,,HII,region HII,1.1536,-73.1941,0.80,0.65,11.7,LP,
NGC0404,,G,galaxie,1.1575,35.7181,3.40,3.37,10.55,sans,
IC1633,,G,galaxie,1.1654,-45.9312,2.90,2.16,11.39,sans,
NGC0410,,G,galaxie,1.183,33.1519,2.37,1.60,11.48,sans,
NGC0428,,G,galaxie,1.2155,0.9816,2.82,2.08,11.47,sans,
NGC0458,,OCl,amas ouvert,1.2482,-71.5527,2.60,2.30,11.66,sans,
NGC0436,,OCl,amas ouvert,1.266,58.8171,5.70,5.70,8.8,sans,
NGC0457,Owl Cluster,OCl,amas ouvert,1.3257,58.2907,7.80,7.80,6.4,sans,
NGC0470,,G,galaxie,1.3291,3.4099,2.86,1.62,11.79,sans,
NGC0474,,G,galaxie,1.3352,3.4154,2.65,2.44,11.52,sans,
NGC0488,,G,galaxie,1.363,5.2567,5.05,3.66,10.26,sans,
NGC0507,,G,galaxie,1.3944,33.2561,2.45,1.66,11.57,sans,
NGC0514,,G,galaxie,1.4011,12.9174,3.50,2.50,11.71,sans,
NGC0521,,G,galaxie,1.4094,1.7314,2.77,2.59,11.8,sans,
NGC0520 NED01,,G,galaxie,1.4096,3.7949,4.09,1.61,11.47,sans,
