hip,ra_deg,dec_deg,mag,name,desig
88,0.2691,-48.8099,5.71,,τ Phe
107,0.3338,-50.3374,5.53,,
122,0.3988,-77.0657,4.78,,θ Oct
124,0.4042,61.2228,5.58,,
145,0.456,-3.0275,5.13,,29 Psc
154,0.4901,-6.0141,4.37,,30 Psc
171,0.5423,27.0823,5.8,,85 Peg
183,0.583,-29.7204,5.04,,ζ Scl
194,0.6238,8.4855,5.7,,c Psc
207,0.6504,66.099,5.87,,
301,0.935,-17.336,4.55,,2 Cet
330,1.0569,62.2877,5.9,,9 Cas
343,1.0825,-16.529,5.78,,
355,1.1255,-10.5095,4.99,,3 Cet
377,1.1721,-71.4369,5.59,,
379,1.1749,67.1664,5.68,,
418,1.2756,61.314,5.8,,V0567 Cas
443,1.3339,-5.7076,4.61,,33 Psc
476,1.4248,13.3963,5.55,,86 Peg
518,1.5659,58.4367,5.98,,V0640 Cas
522,1.5799,-49.0752,5.7,,
531,1.6106,64.1962,5.57,,10 Cas
636,1.9454,-22.5086,5.93,,
655,2.0145,-33.5293,5.67,,
671,2.0731,-8.8241,5.99,,
677,2.0969,29.0904,2.07,Alpheratz,α And
729,2.2601,18.212,5.57,,87 Peg
746,2.2945,59.1498,2.28,Caph,β Cas
761,2.3378,-27.9879,5.42,,κ1 Scl
765,2.3527,-45.7474,3.88,,ε Phe
813,2.5092,11.1458,5.54,,34 Psc
814,2.5091,-82.224,5.29,,γ3 Oct
840,2.5786,-5.2486,5.84,,
841,2.5802,46.0723,5.01,,22 And
873,2.6785,-12.5799,5.84,,
910,2.8161,-15.468,4.89,,6 Cet
930,2.8934,-27.7997,5.41,,κ2 Scl
950,2.9334,-35.1331,5.24,,θ Scl
983,3.0416,-17.9383,5.29,,
1067,3.309,15.1836,2.83,Algenib,γ Peg
1074,3.3318,-84.994,5.78,,
1086,3.3785,41.0354,5.71,,23 And
1096,3.426,-26.0223,5.94,,
1158,3.6151,-7.7805,5.13,,AD Cet
1168,3.6507,20.2067,4.79,,χ Peg
1170,3.6601,-18.9329,4.44,,7 Cet
1191,3.7271,-9.5696,5.77,,
1288,4.0369,-31.4464,5.66,,
1354,4.2377,61.5332,5.74,,
1366,4.2729,38.6816,4.61,,θ And
1372,4.2877,47.9474,5.86,,
1473,4.5819,36.7852,4.51,,σ And
1493,4.6594,31.5172,5.88,,
1562,4.857,-8.8239,3.56,Deneb Kaitos Shemali,ι Cet
1599,5.0178,-64.8748,4.23,,ζ Tuc
1630,5.1017,30.9356,5.89,,
1645,5.1494,8.1903,5.38,,d Psc
1647,5.1627,-69.6249,5.5,,π Tuc
1657,5.1897,32.9112,5.79,,
1686,5.2803,37.9686,5.16,,ρ And
1706,5.3699,-77.4269,5.96,,
1708,5.38,-28.9815,5.18,,ι Scl
1728,5.4428,-20.058,5.61,,T Cet
1921,6.0652,52.0199,5.58,,V0746 Cas
1960,6.1979,61.8311,5.38,,12 Cas
1982,6.2767,53.0468,5.72,,
2006,6.3509,1.9397,5.77,,44 Psc
2021,6.4378,-77.2542,2.82,,β Hyi
2072,6.5508,-43.6798,3.93,,κ Phe
2081,6.571,-42.306,2.4,Ankaa,α Phe
2159,6.8113,-25.5472,5.99,,
2210,6.9821,-33.0072,4.86,,η Scl
2219,7.0121,17.8931,5.01,,47 Psc
2225,7.0569,44.3945,5.18,,
2240,7.1105,-39.915,5.42,,
2353,7.5098,-3.9573,5.72,,12 Cet
2355,7.5307,29.7516,5.2,,28 And
2377,7.5831,59.9776,5.94,,
2381,7.5944,-23.7877,5.17,,
2383,7.6088,-48.2149,5.67,,
2472,7.8541,-48.8035,4.76,,λ1 Phe
2475,7.8568,33.5816,5.88,,
2484,7.8861,-62.9582,4.36,,β1 Tuc
2487,7.8895,-62.9656,4.53,,β2 Tuc
2497,7.9215,52.8395,5.59,,
2505,7.9432,54.5223,4.74,,λ Cas
2548,8.0991,6.9555,5.69,,51 Psc
2568,8.1479,20.2943,5.38,,52 Psc
2578,8.1829,-63.0315,5.07,,β3 Tuc
2599,8.25,62.9318,4.17,,κ Cas
2611,8.2933,54.895,5.93,,
2661,8.421,-29.5583,5.55,,
2711,8.616,-52.3731,5.57,,
2762,8.812,-3.5928,5.2,,13 Cet
2787,8.8868,-0.5056,5.94,,14 Cet
2802,8.9216,-48.0009,5.51,,λ2 Phe
2854,9.0346,54.1685,5.08,,
2876,9.1139,60.3262,5.78,,
2900,9.1935,44.4886,5.14,,V0428 And
2903,9.1971,15.2317,5.89,,53 Psc
2912,9.2202,33.7193,4.34,,π And
2920,9.2429,53.8969,3.69,Fulu,ζ Cas
2941,9.3363,-24.7673,5.57,,
2942,9.3384,35.3995,5.45,,
3031,9.6389,29.3118,4.34,,ε And
